client_sku,common_string,base_sku,EAN_CODE
ACTIMEL 0.1% FAT ORIGINAL DRINKING YOGHURTS,actimel 01 fat original drinking yoghurts,Actimel 0.1% Fat Original Drinking Yoghurts,8713788116475
ACTIMEL 6 X 100 G, 6 x 100 g,Actimel 0% 6 x 100 g,5410146420061
ACTIMEL 6 X 100 G, 6 x 100 g,Actimel 0% Strawberry 6 x 100 g,5410146420061
ACTIMEL 6 X 100 G, 6 x 100 g,Actimel Bianco 6 x 100 g,5410146420061
ACTIMEL 6 X 100 G, 6 x 100 g,Actimel Fragola 6 x 100 g,5410146420061
ACTIMEL 6 X 100 G, 6 x 100 g,Actimel Gout Fraise  6 x 100 g,5410146420061
ACTIMEL 6 X 100 G, 6 x 100 g,Actimel Kids Strawberry and Banana 6 x 100 g,5410146420061
ACTIMEL BIANCO 6 X 100 G,actimel bianco 6 x 100 g,Actimel Bianco 6 x 100 g,8713788116611
ACTIMEL BLUEBERRY DRINKING YOGHURTS,actimel blueberry drinking yoghurts,Actimel Blueberry Drinking Yoghurts,8713788060983
ACTIMEL COCONUT DRINKING YOGHURTS,actimel coconut drinking yoghurts,Actimel Coconut Drinking Yoghurts,5410146406980
ACTIMEL DAIRY FREE ALMOND BLUEBERRY YOGURT DRINK,actimel dairy free almond blueberry yogurt drink,Actimel Dairy Free Almond Blueberry Yogurt Drink,5410146419751
ACTIMEL DAIRY FREE ALMOND MANGO YOGURT DRINK,actimel dairy free almond mango yogurt drink,Actimel Dairy Free Almond Mango Yogurt Drink,5410146419768
ACTIMEL FAT NO ADDED SUGAR RASPBERRY, fat no added sugar raspberry,Actimel 0% Fat No Added Sugar Raspberry,5410146420054
ACTIMEL FAT ORIGINAL DRINKING YOGHURTS, fat original drinking yoghurts,Actimel 0% Fat Original Drinking Yoghurts,5060058331476
ACTIMEL FAT ORIGINAL DRINKING YOGHURTS, fat original drinking yoghurts,Actimel 0.1% Fat Original Drinking Yoghurts,5060058331476
ACTIMEL FRAGOLA 6 X 100 G,actimel fragola 6 x 100 g,Actimel Fragola 6 x 100 g,5410146407024
ACTIMEL FRUTTA MIX 6X100G, frutta mix 6x100g,Actimel Immuno+ Frutta Mix 6X100G,5410146416606
ACTIMEL GOUT FRAISE  6 X 100 G,actimel gout fraise 6 x 100 g,Actimel Gout Fraise  6 x 100 g,5410146415777
ACTIMEL IOGURTE LARANJA VITA C 6X100G,actimel iogurte laranja vita c 6x100g,Actimel Iogurte Laranja Vita C 6x100g,5410146416651
ACTIMEL IOGURTE LIQUIDO NATURAL 6X100G,actimel iogurte liquido natural 6x100g,Actimel Iogurte Liquido Natural 6x100g,5016769993724
ACTIMEL IOGURTE TUTTI-FRUTI 6X100G,actimel iogurte tuttifruti 6x100g,Actimel Iogurte Tutti-Fruti 6x100g,5410146415784
ACTIMEL JORDBÆR 4 X 100 G 400 G,actimel jordbær 4 x 100 g 400 g,"Actimel Jordbær 4 X 100 G, 400 g",5410146416613
ACTIMEL JORDBÆR 4 X 100 G 400G,actimel jordbær 4 x 100 g 400g,"Actimel Jordbær 4 X 100 G, 400g",5410146403682
ACTIMEL KIDS PEACH YOGURT DRINKS,actimel kids peach yogurt drinks,Actimel Kids Peach Yogurt Drinks,5410146415753
ACTIMEL KIDS STRAWBERRY & BANANA 2 PRODUCTS,actimel kids strawberry banana 2 products,Actimel Kids Strawberry & Banana 2 products,5410146416583
ACTIMEL KIDS STRAWBERRY AND BANANA 6 X 100 G,actimel kids strawberry and banana 6 x 100 g,Actimel Kids Strawberry and Banana 6 x 100 g,5410146417290
ACTIMEL KIDS STRAWBERRY BANANA YOGURT DRINKS,actimel kids strawberry banana yogurt drinks,Actimel Kids Strawberry Banana Yogurt Drinks,8713788004048
ACTIMEL MORE & MIRTILLI 6X100G, more mirtilli 6x100g,Actimel Immuno+ More & Mirtilli 6x100G,5410146417313
"ACTIMEL MULTIFRUIT DRINK, 12X100G, BELGIUM,",actimel multifruit drink 12x100g belgium,"Actimel Multifruit Drink, 12x100g, Belgium,",5410146417627
ACTIMEL MULTIFRUIT DRINKING YOGHURTS,actimel multifruit drinking yoghurts,Actimel Multifruit Drinking Yoghurts,5410146417634
ACTIMEL MULTIFRUIT DRINKING YOGURTS,actimel multifruit drinking yogurts,Actimel MultiFruit Drinking Yogurts,8713788114525
ACTIMEL MULTIFRUIT DRINKING YOGURTS,actimel multifruit drinking yogurts,Actimel MultiFruit Drinking Yogurts,5410146419720
ACTIMEL MULTIFRUIT DRINKING YOGURTS,actimel multifruit drinking yogurts,Actimel MultiFruit Drinking Yogurts,8713788114525
ACTIMEL MULTIFRUIT DRINKING YOGURTS,actimel multifruit drinking yogurts,Actimel MultiFruit Drinking Yogurts,5410146419720
ACTIMEL MULTIFRUITS DRINKING YOGHURTS,actimel multifruits drinking yoghurts,Actimel Multifruits Drinking Yoghurts,5410146418723
ACTIMEL RASPBERRY DRINKING YOGHURTS, raspberry drinking yoghurts,Actimel 0% Raspberry Drinking Yoghurts,8713788114662
ACTIMEL STRAWBERRY 6 X 100 G, strawberry 6 x 100 g,Actimel 0% Strawberry 6 x 100 g,5410146416637
ACTIMEL STRAWBERRY DRINKING YOGHURTS, strawberry drinking yoghurts,Actimel 0% Strawberry Drinking Yoghurts,5060058330813
ACTIMEL STRAWBERRY YOGHURT DRINKS, strawberry yoghurt drinks,Actimel 0% Strawberry Yoghurt Drinks,4009700016683
